time,T,RH,P,NOx,SO2,CO,O3,EW,NW,DOY,hour
2020-10-01 00:00:00,10.83,91.1,1015.2,9.392306,0.078348,182.373,7.233403,1.200760978291852,1.4737323298671214,0.7534246575342466,0.0
2020-10-01 00:10:00,10.75,91.6,1015.2,9.609992,0.077157,179.877,6.866313,1.3971466461609077,1.3721481144564285,0.7534246575342466,0.0
2020-10-01 00:20:00,10.75,91.7,1015.2,9.583154,0.1693619999999999,172.05360000000002,6.712376999999999,1.0955620951717369,1.468892699322203,0.7534246575342466,0.0
2020-10-01 00:30:00,10.68,91.7,1015.2,9.067268,0.049158,178.5692,6.661073,1.2227663260068349,1.144664412781102,0.7534246575342466,0.0
2020-10-01 00:40:00,10.6,92.0,1015.15,9.01061,0.04682,181.2862,6.537726999999999,0.9974019406453444,1.6707697914748032,0.7534246575342466,0.0
2020-10-01 00:50:00,10.46,92.0,1015.06,9.52749,0.092328,179.2244,5.9693190000000005,1.200787123354312,1.489694009708794,0.7534246575342466,0.0
2020-10-01 01:00:00,10.37,92.6,1015.04,9.441012,0.077152,178.1376,5.804528,1.1320143675309544,1.207223629145766,0.7534246575342466,0.041666666666666664
2020-10-01 01:10:00,10.35,92.7,1014.96,9.276008,0.1366649999999999,180.9534,5.745331,0.8456307224187928,1.6171924847283887,0.7534246575342466,0.041666666666666664
2020-10-01 01:20:00,10.25,92.5,1014.9,10.072202,0.087645,181.4006,4.8206690000000005,1.1298937471695958,1.6525702756705272,0.7534246575342466,0.041666666666666664
2020-10-01 01:30:00,10.16,92.8,1014.9,10.048346,0.084144,181.7282,5.013114,0.928831734325382,1.76069463919153,0.7534246575342466,0.041666666666666664
2020-10-01 01:40:00,10.21,92.1,1014.85,9.392306,0.079467,178.6784,5.352599,0.6784658133698868,1.7704545608256126,0.7534246575342466,0.041666666666666664
2020-10-01 01:50:00,10.05,92.7,1014.8,8.555358,0.095804,182.7006,5.886494000000001,0.7443635610565937,1.4061294711543535,0.7534246575342466,0.041666666666666664
2020-10-01 02:00:00,10.06,93.4,1014.72,8.405263999999999,0.0712899999999999,180.8598,5.955584,1.1018268053360083,1.5513330076460383,0.7534246575342466,0.08333333333333333
2020-10-01 02:10:00,10.16,93.3,1014.73,7.888383999999999,0.063118,179.98880000000003,6.856582,1.1828902876692498,1.365906968015316,0.7534246575342466,0.08333333333333333
2020-10-01 02:20:00,10.330000000000002,93.6,1014.75,7.556388,0.101624,177.5968,7.803964000000001,1.390760221140426,1.8573775826230248,0.7534246575342466,0.08333333333333333
2020-10-01 02:30:00,10.4,94.0,1014.73,6.708506,0.12846,176.9442,8.874702000000001,1.6432033265124155,1.526920690302841,0.7534246575342466,0.08333333333333333
2020-10-01 02:40:00,10.43,94.5,1014.74,6.24232,0.095782,176.1824,9.400702,1.6836159261763708,1.3912303642136836,0.7534246575342466,0.08333333333333333
2020-10-01 02:50:00,10.5,95.6,1014.72,5.403384,0.071267,176.94940000000005,9.992821,2.453132532677896,1.4427874367924136,0.7534246575342466,0.08333333333333333
2020-10-01 03:00:00,10.5,96.2,1014.65,5.03958,0.051412,178.49380000000002,10.919483,2.3643293225814963,1.1009483469355563,0.7534246575342466,0.125
2020-10-01 03:10:00,10.49,96.8,1014.61,4.889486,0.047918,190.1106,11.367522,2.262467691458453,1.484768722616301,0.7534246575342466,0.125
2020-10-01 03:20:00,10.5,97.0,1014.63,4.862648,0.040915,189.2604,11.651746,1.783497790302651,1.5127064205958898,0.7534246575342466,0.125
2020-10-01 03:30:00,10.51,97.0,1014.6,4.565442,0.0257119999999999,184.8846,12.041563,1.4489933681666554,1.639425849260379,0.7534246575342466,0.125
2020-10-01 03:40:00,10.47,97.0,1014.55,4.356702,0.03039,194.6554,12.01197,2.060903079695494,1.5345995095451888,0.7534246575342466,0.125
2020-10-01 03:50:00,10.47,97.0,1014.39,4.748338,0.0198959999999999,178.7954,12.224157,2.008856633123426,1.9749360004992365,0.7534246575342466,0.125
2020-10-01 04:00:00,10.39,97.0,1014.3,4.779152,0.016388,181.8348,12.754105,2.6619146566404366,1.6796244916907317,0.7534246575342466,0.16666666666666666
2020-10-01 04:10:00,10.330000000000002,97.0,1014.12,5.10419,0.0011949999999999,182.4848,12.041614,2.5201384536194475,1.2113753126444704,0.7534246575342466,0.16666666666666666
2020-10-01 04:20:00,10.26,97.6,1014.13,5.90933,0.002346,181.5098,11.819587,2.143601911625197,1.6673348802332648,0.7534246575342466,0.16666666666666666
2020-10-01 04:30:00,10.13,97.5,1014.1,7.654794,0.023368,178.148,9.855772,1.5305325996894488,1.3737593951836513,0.7534246575342466,0.16666666666666666
2020-10-01 04:40:00,9.98,97.3,1014.1,9.76605,0.1214,179.32580000000002,8.15446,1.6956320935185818,1.7144359179822737,0.7534246575342466,0.16666666666666666
2020-10-01 04:50:00,9.89,97.3,1014.13,10.738182,0.333792,188.678,7.470586,2.3518212158175387,1.358731115582249,0.7534246575342466,0.16666666666666666
2020-10-01 05:00:00,9.89,97.5,1014.16,9.60204,0.294112,184.4478,8.134748,1.185414160313337,1.6471359840209598,0.7534246575342466,0.20833333333333334
2020-10-01 05:10:00,9.76,97.3,1014.1,8.480808,0.137726,179.32840000000002,9.340689,1.9457645302563888,1.2227437325417985,0.7534246575342466,0.20833333333333334
2020-10-01 05:20:00,9.75,97.3,1014.09,8.022574,0.082874,184.5466,8.805829,1.1375136339132483,2.148838325543444,0.7534246575342466,0.20833333333333334
